Lagoas;Acum_Cinorg
LRF1;641.5108
LRF1;582.4368
LRF1;538.9958
LRF1;613009
LRF1;600.8619
LRF1;566045
LRF1;653.3806
LRF1;619.5561
LRF1;606.1932
LRF1;632.1686
LRF1;645.5127
LRF1;687.6789
LRF1;651.3116
LRF1;635.5791
LRF1;582.4923
LRF1;670.7239
LRF1;639.6728
LRF1;683815
LRF1;702.0446
LRF1;893.3678
LRF1;703.6761
LRF1;653.2851
LRF1;674886
LRF1;723.8064
LRF1;730.5764
LRF1;737.3762
LRF1;817.8088
LRF1;751.0657
LRF1;757.9553
LRF1;764.8748
LRF1;752.3406
LRF1;778.8036
LRF2;421.5769
LRF2;463.7112
LRF2;475.1742
LRF2;485229
LRF2;498.3448
LRF2;535.7366
LRF2;521.8419
LRF2;533.7128
LRF2;545.6654
LRF2;557.6995
LRF2;569.8152
LRF2;584.7587
LRF2;594.2913
LRF2;580.9898
LRF2;646.2704
LRF2;631.6175
LRF2;613.2969
LRF2;656.9096
LRF2;690.5634
LRF2;682.5281
LRF2;695.4597
LRF2;549.4098
LRF2;599.0245
LRF2;570.3031
LRF3;453.0007
LRF3;402309
LRF3;434.6531
LRF3;417.7552
LRF3;425.5832
LRF3;443.3987
LRF3;441.4491
LRF3;449.4869
LRF3;441.0914
LRF3;315.4752
LRF3;392.9465
LRF3;344.8524
LRF3;359.8906
LRF3;353197
LRF3;390.6665
LRF3;406.4042
LRF3;515.2425
LRF3;438.5788
LRF3;360.0932
LRF3;343.0037
LRF3;353.5692
LRF3;298.7553
LRF3;374.9448
LRF3;385.7551
LRF3;388.9154
LRF3;407.6203
LRF3;387.8501
LRF3;429.8119
LRF3;441.03
ITP1;15.16154
ITP1;16.37664
ITP1;18.4041
ITP1;18.20185
ITP1;25.80988
ITP1;30.48846
ITP1;25.17162
ITP1;21.6908
ITP1;33.93472
ITP1;37.94201
ITP1;24.92782
ITP1;1.759926
ITP2;34.83912
ITP2;28.71674
ITP2;38.47706
ITP2;15.33281
ITP2;19.46246
ITP2;15.85065
ITP2;25.0434
ITP2;32.0117
ITP2;41.54637
ITP2;25.49382
ITP2;29.81461
ITP2;22.59832
ITP2;10.05004
ITP2;21.0025
ITP3;38.60732
ITP3;53.49143
ITP3;36.83109
ITP3;49.53041
ITP3;39.14078
ITP3;25.03729
ITP3;24.46645
ITP3;157.3248
ITP3;79.45317
ITP3;37.45824
ITP3;23.08694
ITP3;15.1964
ITP3;53.7641
ITP3;45.42358
ITP3;13.85151
ITP3;19.87921
ITP3;36.10972
ITP3;32.61599
ITP3;41.74756
ITP3;16.12702
ITP3;15.89316
ITP3;19.89368
ITP3;44.4211
MAC1;0.4
MAC1;0.1
MAC1;0.1
MAC1;0.1
MAC1;0.4
MAC1;0.1
MAC1;0.1
MAC1;0.1
MAC2;4.4
MAC2;3.4
MAC2;1
MAC2;2.7
MAC2;2.6
MAC2;2.1
MAC2;1.4
MAC2;1
MAC2;0.6
MAC3;84.3
MAC3;52.2
MAC3;13.7
MAC3;9.1
MAC3;8.3
MAC3;8.8
MAC3;8.5
MAC3;7.9
MAC3;8.5
MAC3;6.8
MAC3;6.3
MAC3;1.5
MAC3;4.3
MAC3;4.5
IMB1;2.730282
IMB1;2.240489
IMB1;1.692665
IMB1;2.046019
IMB1;5.816056
IMB1;1.739051
IMB1;2.992422
IMB1;2.299784
IMB1;2.27
IMB1;2695
IMB1;2.27
IMB1;2695
IMB1;2.27
IMB1;2695
IMB2;1.193996
IMB2;0.059118
IMB2;3.87583
IMB2;7.178792
IMB2;6.209815
IMB2;7.445458
IMB2;5043
IMB2;4327
IMB2;5043
IMB2;4327
IMB2;5043
IMB2;4327
IMB3;1.528819
IMB3;0.523451
IMB3;2.859627
IMB3;2.033846
IMB3;3.728606
IMB3;4.598699
IMB3;6.23402
IMB3;4.364451
IMB3;0.178885

